w1	w2	w3	w4	l4	r4
abend	fultz	gryph	jocks	abcdefghjklnoprstuyz	imqvwx
abend	fultz	gryph	swick	abcdefghiklnprstuwyz	jmoqvx
abend	fultz	qophs	wrick	abcdefhiklnopqrstuwz	gjmvxy
abend	glyph	jufts	wrick	abcdefghijklnprstuwy	moqvxz
abend	jufts	phlox	wrick	abcdefhijklnoprstuwx	gmqvyz
abend	plotx	vughs	wrick	abcdeghiklnoprstuvwx	fjmqyz
abets	chivw	fjord	glump	abcdefghijlmoprstuvw	knqxyz
abets	chivw	fjord	plunk	abcdefhijklnoprstuvw	gmqxyz
abets	chivw	frump	klong	abcefghiklmnoprstuvw	djqxyz
abets	fjord	glick	whump	abcdefghijklmoprstuw	nqvxyz
abets	fjord	pluck	whing	abcdefghijklnoprstuw	mqvxyz
abets	flock	gryph	windz	abcdefghiklnoprstwyz	jmquvx
abhor	exptl	fucks	windz	abcdefhiklnoprstuwxz	gjmqvy
abhor	exptl	gucks	windz	abcdeghiklnoprstuwxz	fjmqvy
abhor	exptl	mucks	windz	abcdehiklmnoprstuwxz	fgjqvy
abhor	fjeld	mucks	vingt	abcdefghijklmnorstuv	pqwxyz
abhor	fjeld	pucks	vingt	abcdefghijklnoprstuv	mqwxyz
abhor	fldxt	eking	jumps	abdefghijklmnoprstux	cqvwyz
abhor	fldxt	enzym	gucks	abcdefghklmnorstuxyz	ijpqvw
abhor	fldxt	enzym	picks	abcdefhiklmnoprstxyz	gjquvw
abhor	fldxt	enzym	pucks	abcdefhklmnoprstuxyz	gijqvw
abhor	fldxt	enzym	swick	abcdefhiklmnorstwxyz	gjpquv
abhor	fldxt	ewing	jumps	abdefghijlmnoprstuwx	ckqvyz
abhor	fldxt	gecks	jimpy	abcdefghijklmoprstxy	nquvwz
abhor	fldxt	gecks	jumpy	abcdefghjklmoprstuxy	inqvwz
abhor	fldxt	gecks	vinum	abcdefghiklmnorstuvx	jpqwyz
abhor	fldxt	gecks	zymin	abcdefghiklmnorstxyz	jpquvw
abhor	fldxt	genic	jumps	abcdefghijlmnoprstux	kqvwyz
abhor	fldxt	gimps	junky	abdfghijklmnoprstuxy	ceqvwz
abhor	fldxt	gimps	kevyn	abdefghiklmnoprstvxy	cjquwz
abhor	fldxt	gimpy	necks	abcdefghiklmnoprstxy	jquvwz
abhor	fldxt	gimpy	snuck	abcdfghiklmnoprstuxy	ejqvwz
abhor	fldxt	given	jumps	abdefghijlmnoprstuvx	ckqwyz
abhor	fldxt	given	pucks	abcdefghiklnoprstuvx	jmqwyz
abhor	fldxt	gucks	jimpy	abcdfghijklmoprstuxy	enqvwz
abhor	fldxt	gucks	mizen	abcdefghiklmnorstuxz	jpqvwy
abhor	fldxt	gucks	vinew	abcdefghiklnorstuvwx	jmpqyz
abhor	fldxt	gucks	winze	abcdefghiklnorstuwxz	jmpqvy
abhor	fldxt	gucks	zymin	abcdfghiklmnorstuxyz	ejpqvw
abhor	fldxt	gynic	jumps	abcdfghijlmnoprstuxy	ekqvwz
abhor	fldxt	jimpy	necks	abcdefhijklmnoprstxy	gquvwz
abhor	fldxt	jimpy	snuck	abcdfhijklmnoprstuxy	egqvwz
abhor	fldxt	jimpy	swung	abdfghijlmnoprstuwxy	cekqvz
abhor	fldxt	jingu	pecks	abcdefghijklnoprstux	mqvwyz
abhor	fldxt	jumps	kevin	abdefhijklmnoprstuvx	cgqwyz
abhor	fldxt	jumps	kevyn	abdefhjklmnoprstuvxy	cgiqwz
abhor	fldxt	jumps	knezi	abdefhijklmnoprstuxz	cgqvwy
abhor	fldxt	jumps	vicky	abcdfhijklmoprstuvxy	egnqwz
abhor	fldxt	jumps	vince	abcdefhijlmnoprstuvx	gkqwyz
abhor	fldxt	jumps	vinew	abdefhijlmnoprstuvwx	cgkqyz
abhor	fldxt	jumps	vying	abdfghijlmnoprstuvxy	cekqwz
abhor	fldxt	jumps	wicky	abcdfhijklmoprstuwxy	egnqvz
abhor	fldxt	jumps	wince	abcdefhijlmnoprstuwx	gkqvyz
abhor	fldxt	jumps	winze	abdefhijlmnoprstuwxz	cgkqvy
abhor	fldxt	jumps	zincy	abcdfhijlmnoprstuxyz	egkqvw
abhor	fldxt	jumps	zingy	abdfghijlmnoprstuxyz	cekqvw
abhor	fldxt	jumps	zinky	abdfhijklmnoprstuxyz	cegqvw
abhor	fldxt	jumpy	necks	abcdefhjklmnoprstuxy	giqvwz
abhor	fldxt	jumpy	swink	abdfhijklmnoprstuwxy	cegqvz
abhor	fldxt	junks	zymic	abcdfhijklmnorstuxyz	egpqvw
abhor	fldxt	kemps	wingy	abdefghiklmnoprstwxy	cjquvz
abhor	fldxt	kemps	zingy	abdefghiklmnoprstxyz	cjquvw
abhor	fldxt	kempy	swung	abdefghklmnoprstuwxy	cijqvz
abhor	fldxt	micky	swung	abcdfghiklmnorstuwxy	ejpqvz
abhor	fldxt	mucks	vying	abcdfghiklmnorstuvxy	ejpqwz
abhor	fldxt	mucks	winze	abcdefhiklmnorstuwxz	gjpqvy
abhor	fldxt	mungy	pecks	abcdefghklmnoprstuxy	ijqvwz
abhor	fldxt	numps	vicky	abcdfhiklmnoprstuvxy	egjqwz
abhor	fldxt	pecks	vinum	abcdefhiklmnoprstuvx	gjqwyz
abhor	fldxt	pecks	vying	abcdefghiklnoprstvxy	jmquwz
abhor	fldxt	pecks	wingy	abcdefghiklnoprstwxy	jmquvz
abhor	fldxt	pecks	zingy	abcdefghiklnoprstxyz	jmquvw
abhor	fldxt	pecky	swung	abcdefghklnoprstuwxy	ijmqvz
abhor	fldxt	picky	swung	abcdfghiklnoprstuwxy	ejmqvz
abhor	fldxt	pucks	vinew	abcdefhiklnoprstuvwx	gjmqyz
abhor	fldxt	pucks	vying	abcdfghiklnoprstuvxy	ejmqwz
abhor	fldxt	pucks	zingy	abcdfghiklnoprstuxyz	ejmqvw
abhor	fldxt	pucks	zymin	abcdfhiklmnoprstuxyz	egjqvw
abhor	fldxt	pungs	zymic	abcdfghilmnoprstuxyz	ejkqvw
abhor	fldxt	swung	vicky	abcdfghiklnorstuvwxy	ejmpqz
abhor	fldxt	swung	zymic	abcdfghilmnorstuwxyz	ejkpqv
abhor	fleck	jumps	vingt	abcefghijklmnoprstuv	dqwxyz
abhor	fleck	jumps	windz	abcdefhijklmnoprsuwz	gqtvxy
abhor	jufts	pleck	windz	abcdefhijklnoprstuwz	gmqvxy
abies	fldxt	gconv	murph	abcdefghilmnoprstuvx	jkqwyz
abies	fldxt	gconv	whump	abcdefghilmnopstuvwx	jkqryz
abime	fldxt	chowk	supvr	abcdefhiklmoprstuvwx	gjnqyz
abime	fldxt	crunk	qophs	abcdefhiklmnopqrstux	gjvwyz
abime	fldxt	gconv	qursh	abcdefghilmnoqrstuvx	jkpwyz
abime	fldxt	gryph	junks	abdefghijklmnprstuxy	coqvwz
abime	fldxt	gryph	snuck	abcdefghiklmnprstuxy	joqvwz
abime	fldxt	jocks	wrung	abcdefgijklmnorstuwx	hpqvyz
abime	fldxt	junks	porch	abcdefhijklmnoprstux	gqvwyz
abime	fldxt	nowch	supvr	abcdefhilmnoprstuvwx	gjkqyz
abime	fldxt	psych	wrung	abcdefghilmnprstuwxy	jkoqvz
abime	fldxt	qophs	wrung	abdefghilmnopqrstuwx	cjkvyz
abime	hdqrs	fconv	klutz	abcdefhiklmnoqrstuvz	gjpwxy
abime	hdqrs	fultz	gconv	abcdefghilmnoqrstuvz	jkpwxy
abime	hdqrs	gconv	klutz	abcdeghiklmnoqrstuvz	fjpwxy
abled	chivw	grump	syftn	abcdefghilmnprstuvwy	jkoqxz
abled	chivw	jufts	prong	abcdefghijlnoprstuvw	kmqxyz
abled	chowk	fritz	jumps	abcdefhijklmoprstuwz	gnqvxy
abled	chowk	frump	vingt	abcdefghiklmnoprtuvw	jqsxyz
abled	chowk	jumps	vingt	abcdeghijklmnopstuvw	fqrxyz
abled	crwth	jumps	vying	abcdeghijlmnprstuvwy	fkoqxz
abled	crwth	jumps	zingy	abcdeghijlmnprstuwyz	fkoqvx
abled	crwth	jumps	zinky	abcdehijklmnprstuwyz	fgoqvx
abled	crwth	jumps	zygon	abcdeghjlmnoprstuwyz	fikqvx
abled	fcomp	kvint	qursh	abcdefhiklmnopqrstuv	gjwxyz
abled	fcomp	qursh	vingt	abcdefghilmnopqrstuv	jkwxyz
abled	fconv	girth	jumps	abcdefghijlmnoprstuv	kqwxyz
abled	fconv	jumps	twirk	abcdefijklmnoprstuvw	ghqxyz
abled	fconv	jumps	wight	abcdefghijlmnopstuvw	kqrxyz
abled	fritz	gconv	jumps	abcdefgijlmnoprstuvz	hkqwxy
abled	fritz	gconv	whump	abcdefghilmnoprtuvwz	jkqsxy
abled	frock	jumps	vingt	abcdefgijklmnoprstuv	hqwxyz
abled	frock	jumps	whing	abcdefghijklmnoprsuw	qtvxyz
abled	gconv	jumps	twirk	abcdegijklmnoprstuvw	fhqxyz
abled	griph	jocks	muntz	abcdeghijklmnoprstuz	fqvwxy
abled	grosz	kvint	whump	abdeghiklmnoprstuvwz	cfjqxy
abled	gryph	jocks	muntz	abcdeghjklmnoprstuyz	fiqvwx
abled	gryph	muntz	swick	abcdeghiklmnprstuwyz	fjoqvx
abled	jocks	murph	vingt	abcdeghijklmnoprstuv	fqwxyz
abled	muntz	qophs	wrick	abcdehiklmnopqrstuwz	fgjvxy
abler	chowk	jumps	vingt	abceghijklmnoprstuvw	dfqxyz
abler	fcomp	junks	wight	abcefghijklmnoprstuw	dqvxyz
abler	fconv	jumps	wight	abcefghijlmnoprstuvw	dkqxyz
abler	jocks	vingt	zhmud	abcdeghijklmnorstuvz	fpqwxy
ables	chivw	fjord	muntz	abcdefhijlmnorstuvwz	gkpqxy
ables	fjord	kvint	whump	abdefhijklmnoprstuvw	cgqxyz
ables	fjord	vingt	whump	abdefghijlmnoprstuvw	ckqxyz
ables	fritz	gconv	whump	abcefghilmnoprstuvwz	djkqxy
ables	gconv	twirk	zhmud	abcdeghiklmnorstuvwz	fjpqxy
ablet	chivw	fjord	gunks	abcdefghijklnorstuvw	mpqxyz
ablet	chowk	frump	zings	abcefghiklmnoprstuwz	djqvxy
ablet	chump	fjord	zings	abcdefghijlmnoprstuz	kqvwxy
ablet	fcomp	hdqrs	gunky	abcdefghklmnopqrstuy	ijvwxz
ablet	fcomp	hdqrs	jingu	abcdefghijlmnopqrstu	kvwxyz
ablet	fcomp	hdqrs	junky	abcdefhjklmnopqrstuy	givwxz
ablet	fcomp	hdqrs	kingu	abcdefghiklmnopqrstu	jvwxyz
ablet	fcomp	hdqrs	vying	abcdefghilmnopqrstvy	jkuwxz
ablet	fcomp	hdqrs	wingy	abcdefghilmnopqrstwy	jkuvxz
ablet	fcomp	hdqrs	zingy	abcdefghilmnopqrstyz	jkuvwx
ablet	fcomp	hdqrs	zinky	abcdefhiklmnopqrstyz	gjuvwx
ablet	fcomp	vughs	windz	abcdefghilmnopstuvwz	jkqrxy
ablet	fconv	hdqrs	jimpy	abcdefhijlmnopqrstvy	gkuwxz
ablet	fconv	hdqrs	jumpy	abcdefhjlmnopqrstuvy	gikwxz
ablet	fconv	hdqrs	mixup	abcdefhilmnopqrstuvx	gjkwyz
ablet	fconv	hdqrs	mujik	abcdefhijklmnoqrstuv	gpwxyz
ablet	fconv	skirp	zhmud	abcdefhiklmnoprstuvz	gjqwxy
ablet	fjord	whump	zings	abdefghijlmnoprstuwz	ckqvxy
ablet	frock	jumps	windz	abcdefijklmnoprstuwz	ghqvxy
ablet	gconv	hdqrs	fixup	abcdefghilnopqrstuvx	jkmwyz
ablet	gconv	hdqrs	jimpy	abcdeghijlmnopqrstvy	fkuwxz
ablet	gconv	hdqrs	jumpy	abcdeghjlmnopqrstuvy	fikwxz
ablet	gconv	hdqrs	mixup	abcdeghilmnopqrstuvx	fjkwyz
ablet	gconv	hdqrs	mujik	abcdeghijklmnoqrstuv	fpwxyz
ablet	grump	jocks	windz	abcdegijklmnoprstuwz	fhqvxy
ablet	gryph	jocks	windz	abcdeghijklnoprstwyz	fmquvx
ablow	cheng	fritz	jumps	abcefghijlmnoprstuwz	dkqvxy
ablow	crypt	fenks	zhmud	abcdefhklmnoprstuwyz	gijqvx
ablow	crypt	finks	zhmud	abcdfhiklmnoprstuwyz	egjqvx
ablow	crypt	jinks	zhmud	abcdhijklmnoprstuwyz	efgqvx
ablow	decks	frump	vingt	abcdefgiklmnoprstuvw	hjqxyz
ablow	decks	gryph	muntz	abcdeghklmnoprstuwyz	fijqvx
ablow	fecks	gryph	muntz	abcefghklmnoprstuwyz	dijqvx
ablow	fecks	vingt	zhmud	abcdefghiklmnostuvwz	jpqrxy
ablow	freck	jumps	vingt	abcefgijklmnoprstuvw	dhqxyz
ablow	fritz	gecks	nymph	abcefghiklmnoprstwyz	djquvx
ablow	fritz	gucks	nymph	abcfghiklmnoprstuwyz	dejqvx
ablow	fritz	jumps	kench	abcefhijklmnoprstuwz	dgqvxy
ablow	frump	jinks	vetch	abcefhijklmnoprstuvw	dgqxyz
ablow	hdqrs	cimex	punkt	abcdehiklmnopqrstuwx	fgjvyz
ablow	hdqrs	fingu	kempt	abdefghiklmnopqrstuw	cjvxyz
ablow	hdqrs	gynic	kempt	abcdeghiklmnopqrstwy	fjuvxz
ablow	hdqrs	jingu	kempt	abdeghijklmnopqrstuw	cfvxyz
ablow	hdqrs	jumpy	kvint	abdhijklmnopqrstuvwy	cefgxz
ablow	hdqrs	jumpy	vingt	abdghijlmnopqrstuvwy	cefkxz
ablow	hdqrs	kempt	unfix	abdefhiklmnopqrstuwx	cgjvyz
ablow	hdqrs	kempt	zincy	abcdehiklmnopqrstwyz	fgjuvx
ablow	hdqrs	kempt	zingy	abdeghiklmnopqrstwyz	cfjuvx
ablow	hdqrs	kvint	pumex	abdehiklmnopqrstuvwx	cfgjyz
ablow	hdqrs	mucky	vingt	abcdghiklmnoqrstuvwy	efjpxz
ablow	hdqrs	muntz	pecky	abcdehklmnopqrstuwyz	fgijvx
ablow	hdqrs	muntz	picky	abcdhiklmnopqrstuwyz	efgjvx
ablow	hdqrs	muntz	vicky	abcdhiklmnoqrstuvwyz	efgjpx
ablow	hdqrs	pecky	vingt	abcdeghiklnopqrstvwy	fjmuxz
ablow	hdqrs	pumex	vingt	abdeghilmnopqrstuvwx	cfjkyz
ablow	jerks	vingt	zhmud	abdeghijklmnorstuvwz	cfpqxy
ablow	kerfs	vingt	zhmud	abdefghiklmnorstuvwz	cjpqxy
ablow	pecks	vingt	zhmud	abcdeghiklmnopstuvwz	fjqrxy
